id,var-origin,var-lh,label
1,a001,a001-dom-tipo,Tipo do domicílio
2,a002010,a002010-dom,Qual é o material que predomina na construção das paredes externas deste domicílio?
3,a003010,a003010-dom-mat,Material predominante na cobertura (telhado) do domicílio
4,a004010,a004010-dom,Qual é o material que predomina no piso deste domicílio
5,a005010,a005010-dom-1,Qual é a principal forma de abastecimento de água deste domicílio
6,a005012,a005012-dom-rede,Este domicílio está ligado à rede geral de distribuição de água? 
7,a00601,a00601-dom-agua,__conseguiu obter os medicamentos receitados? (Leia as opções de resposta)
8,a009010,a009010-dom-agua-1,A água utilizada neste domicílio chega
9,a01001,a01001-dom-com, Quantos cômodos têm este domicílio
10,a011,a011-dom-com-1,Quantos cômodos estão servindo permanentemente de dormitório para os moradores deste domicílio
11,a01401,a01401-dom-wc,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso exclusivo dos moradores existem neste domicílio, inclusive os localizados no terreno ou propriedade"
12,a01402,a01402-dom-wc-1,"Quantos banheiros (com chuveiro ou banheira e vaso sanitário ou privada) de uso comum a mais de um domicilio, existem neste terreno ou propriedade"
13,a01403,a01403-dom-wc-2,"Utiliza sanitário ou buraco para dejeções, inclusive os localizados no terreno ou na propriedade (cercado por paredes de qualquer material"
14,a01501,a01501-dom,Para onde vai o esgoto do banheiro? Ou Para onde vai o esgoto do sanitário ou do buraco para dejeções?
15,a016010,a016010-dom,Qual o (principal) destino dado ao lixo
16,a018011,a018011-dom,Neste domicílio existe televisão em cores 
17,a018012,a018012-dom,Quantos?
18,a018013,a018013-dom,Neste domicílio existe geladeira 
19,a018014,a018014-dom,Quantos?
20,a018015,a018015-dom,Neste domicílio existe máquina de lavar roupa 
21,a018016,a018016-dom,Quantos?
22,a018017,a018017-dom,Neste domicílio existe telefone fixo convencional
23,a018018,a018018-dom,Quantos?
24,a018019,a018019-dom,Neste domicílio existe telefone móvel celular 
25,a018020,a018020-dom,Quantos?
26,a018021,a018021-dom,Neste domicílio existe forno micro-ondas
27,a018022,a018022-dom,Quantos?
28,a018023,a018023-dom,"Neste domicílio existe computador (considere inclusive os portáteis, tais como: laptop, notebook ou netbook)?  "
29,a018024,a018024-dom,Quantos?
30,a018025,a018025-dom,Neste domicílio existe motocicleta
31,a018026,a018026-dom,Quantos?
32,a018027,a018027-dom,Neste domicílio existe automóvel
33,a018028,a018028-dom,Quantos?
34,a01901,a01901-dom-usr,"Algum morador tem acesso à Internet no domicílio por meio de computador, tablet, telefone móvel celular, televisão ou outro equipamento?"
35,a02101,a02101-dom,"No seu domicílio, há trabalhador (as) doméstico(as) que trabalham em seu domicílio três vezes ou mais por semana (empregada doméstica, babá, cuidador etc.)"
36,a02102,a02102-dom,Quantos?
37,a02201,a02201-dom,"Em seu domicílio, há algum animal de estimação"
38,a02305,a02305-dom,Quantos destes animais são gatos
39,a02306,a02306-dom,Quantos destes animais são cachorros
40,a02307,a02307-dom,Quantos destes animais são aves
41,a02308,a02308-dom,Quantos destes animais são peixes
42,a02401,a02401-dom,"Nos últimos 12 meses, quantos gatos foram vacinados contra raiva?"
43,a02402,a02402-dom,"Nos últimos 12 meses , quantos cachorros foram vacinados contra raiva?"
44,b001,b001-dom,O seu domicílio está cadastrado na unidade de saúde da família 
45,b002,b002-dom,. Quando o seu domicílio foi cadastrado
46,b003,b003-dom,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum Agente Comunitário ou algum membro da Equipe de Saúde da Família? "
47,b004,b004-dom,"Nos últimos doze meses, com que frequência o seu domicílio recebeu uma visita de algum agente de endemias (como a dengue, por exemplo)"
48,c001,c001-usr,Número de pessoas no domicílio
49,c00301,c00301-usr,Número de ordem do morador
50,c004,c004-usr-dom,Condição no domicílio
51,c006,c006-usr-sex,Sexo
52,c00701,c00701-usr-nasc-d,Dia de nascimento
53,c00702,c00702-usr-nasc-m,Mês de nascimento
54,c00703,c00703-usr-aa,Ano de nascimento
55,c008,c008-usr-yo,Idade do morador na data de referência
56,c009,c009-usr-cor,Cor ou raça
57,c01001,c01001-usr-casado,Cônjuge ou companheiro(a) mora em nesse domicílio.
58,c010010,c010010-usr,Número de ordem do cônjuge ou companheiro(a)
59,c011,c011-usr,Qual é o estado civil de ___? 
60,c012,c012-usr,Informante do Módulo C
61,c013,c013-usr,Cônjuge ou companheiro(a) mora em outro domicílio.
